,section,task_section,task,trial_id,cue_dir,valid_cue,key_resp.keys,key_resp.rt,correct_response,median_left_eye_x,mean_left_eye_x,participant_number,session_number,session_type,no_bad_eye_indicies,median_aai,mean_aai,eyes_open_baseline,eyes_closed_baseline,posner_baseline,posner_threshold,percentage_bad_eye
0,baseline_eo-0,,baseline0,,,,,,,,,sub-00,ses-01,an-at,,-0.025364857885760494,-0.02144831272558733,,,,,
1,baseline_ec-0,,baseline0,,,,,,,,,sub-00,ses-01,an-at,,-0.11815972322573241,-0.1182357027375482,,,,,
2,baseline_eo-0,,baseline1,,,,,,,,,sub-00,ses-01,an-at,,-0.029136735970457333,-0.019690301176122964,,,,,
3,baseline_ec-0,,baseline1,,,,,,,,,sub-00,ses-01,an-at,,-0.15232058153423125,-0.15113909637138528,,,,,
4,cue_left,pos,posner0,0.0,left,True,['left'],[0.3404449999798089],True,621.0,620.4332,sub-00,ses-01,an-at,0.0,0.059458376134459326,-0.026283127076215537,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
5,cue_left,pos,posner0,1.0,left,True,['left'],[0.3464029000606388],True,631.0,631.487,sub-00,ses-01,an-at,0.0,-0.07396259877904604,-0.051756680709516716,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
6,cue_centre,pos,posner0,2.0,centre,True,['right'],[0.3002936001867056],True,645.0,648.067,sub-00,ses-01,an-at,0.0,0.0024052010434764126,0.01518332226766824,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
7,cue_centre,pos,posner0,3.0,centre,True,['right'],[0.332153000170365],True,654.0,653.2738,sub-00,ses-01,an-at,0.0,-0.03629299361724117,-0.040173722326866244,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
8,cue_centre,pos,posner0,4.0,centre,True,['right'],[0.31821119994856417],True,649.0,648.7546,sub-00,ses-01,an-at,0.0,-0.1519580819878591,-0.16897272025030707,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
9,cue_left,pos,posner0,5.0,left,True,['left'],[0.32405810011550784],True,644.0,637.5792,sub-00,ses-01,an-at,0.0,0.015333834742746098,0.02274135966066864,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
10,cue_left,pos,posner0,6.0,left,True,['left'],[0.3820030000060797],True,645.5,645.497,sub-00,ses-01,an-at,0.0,-0.09775376059954571,-0.09367129960227967,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
11,cue_centre,pos,posner0,7.0,centre,True,['right'],[0.25601890007965267],True,647.0,646.9344,sub-00,ses-01,an-at,0.0,0.08058467577922415,0.03414375231388897,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
12,cue_right,pos,posner0,8.0,right,True,['right'],[0.2840948000084609],True,647.0,646.7376,sub-00,ses-01,an-at,0.0,0.07924508858282307,0.09622428081694419,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
13,cue_left,pos,posner0,9.0,left,False,['right'],[0.34583569993264973],True,648.5,648.6038,sub-00,ses-01,an-at,0.0,0.13210828940030156,0.08261242555712606,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
14,cue_right,pos,posner0,10.0,right,False,['left'],[0.327965599950403],True,656.0,655.3336,sub-00,ses-01,an-at,0.0,0.021884006108309033,0.009592396144127277,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
15,cue_left,pos,posner0,11.0,left,False,['right'],[0.2838204998988658],True,650.0,649.1754,sub-00,ses-01,an-at,0.0,0.0986079661932754,0.0922923064656194,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
16,cue_left,pos,posner0,12.0,left,False,['right'],[0.3331264997832477],True,655.0,655.3328,sub-00,ses-01,an-at,0.0,0.03719588052127093,0.03576014660791196,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
17,cue_left,pos,posner0,13.0,left,True,['left'],[0.28973380010575056],True,655.0,655.3992,sub-00,ses-01,an-at,0.0,0.03909566873555593,-0.001150487089090393,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
18,cue_centre,pos,posner0,14.0,centre,True,['left'],[0.28953559999354184],True,660.0,659.44,sub-00,ses-01,an-at,0.0,-0.10535748067787526,-0.0730115996786576,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
19,cue_right,pos,posner0,15.0,right,True,['right'],[0.30563919991254807],True,655.0,655.2814,sub-00,ses-01,an-at,0.0,-3.868159110367178e-05,-0.005033689816271233,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
20,cue_left,pos,posner0,16.0,left,True,['left'],[0.31963899987749755],True,658.0,657.8324,sub-00,ses-01,an-at,0.0,-0.2356380567043419,-0.1534634453621846,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
21,cue_centre,pos,posner0,17.0,centre,True,['right'],[0.33966589998453856],True,653.25,653.4544,sub-00,ses-01,an-at,0.0,0.03236321670553965,-0.010398002412624362,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
22,cue_right,pos,posner0,18.0,right,True,['right'],[0.314797000028193],True,657.0,656.576,sub-00,ses-01,an-at,0.0,0.28527272703908724,0.2452886383892076,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
23,cue_centre,pos,posner0,19.0,centre,True,['left'],[0.3374931998550892],True,653.0,653.664406779661,sub-00,ses-01,an-at,140.0,-0.08973184285691138,-0.056604318933863244,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.056
24,cue_centre,pos,posner0,20.0,centre,True,['right'],[0.3155211000703275],True,652.0,653.354,sub-00,ses-01,an-at,0.0,-0.05901172537143974,-0.05190228071581827,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
25,cue_centre,pos,posner0,21.0,centre,True,"['right', 'right']","[0.3174162998329848, 0.5573163998778909]",False,654.0,654.6128,sub-00,ses-01,an-at,0.0,-6.717507814478801e-05,0.006977862370779093,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
26,cue_centre,pos,posner0,22.0,centre,True,['right'],[0.29927229997701943],True,657.0,657.0212,sub-00,ses-01,an-at,0.0,0.0701199048806663,0.08963037501014454,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
27,cue_right,pos,posner0,23.0,right,True,['right'],[0.3092246998567134],True,659.0,658.9264,sub-00,ses-01,an-at,0.0,0.09890921376894152,0.0252230836310304,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
28,cue_right,pos,posner0,24.0,right,True,['right'],[0.40704890014603734],True,655.0,656.1932,sub-00,ses-01,an-at,0.0,-0.13550737173903454,-0.0510055906683673,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
29,cue_left,pos,posner0,25.0,left,True,['left'],[0.3262983001768589],True,640.0,639.5224,sub-00,ses-01,an-at,0.0,-0.05171043191161554,-0.018458339399437237,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
30,cue_right,pos,posner0,26.0,right,True,['right'],[0.31296350015327334],True,657.0,657.4076,sub-00,ses-01,an-at,0.0,0.028814764113156404,-0.02073705901046566,-0.025364857885760494,-0.11815972322573241,-0.013183726367449577,0.08467945757592392,0.0
